Name_1,0,1,2,3,4,5,6,RES,SFH,MFH,LEVL_CODE,population,RES_weighted,SFH_weighted,MFH_weighted,Ratio_SFH,Ratio_MFH,domestic_weighted,non-domestic_weighted,gas_SFH,gas_MFH
Z10,10835,1293800,476095,468905,348800,1304625,0,1293800,476095,817705,21.0,959992.9202222291,412572.2226833146,171588.37563254742,240986.85897339307,2.4044299106066984,1.7120112874240414,4578.409461437148,2555.687391467033,11008.464652084183,7838.2886764294235
Z11,53635,5809745,1694065,2064260,2051435,5863365,0,5809745,1694065,4115695,102.0,8837226.110345917,3614409.9751522336,929563.8150131692,2684858.8810335714,3.8882860076701973,1.3462197215225031,44889.179065317556,27164.08018145026,174541.9668554762,60430.69814068558
Z12,39035,4342050,1389395,1324045,1628615,4381085,0,4342050,1389395,2952660,51.0,4853668.967022725,2030597.3614061929,656770.48785071,1373822.2639465453,3.0917914232890538,1.478064095112963,20030.272990335394,11309.260587397774,61929.42623765736,29606.02732232571
Z13,44995,4518185,1329235,1391800,1797155,4563175,0,4518185,1329235,3188955,69.0,5767952.427432426,2469594.8220381886,642823.5175316908,1826765.156917093,3.8417928944493527,1.3518950767628803,26793.50167477074,15272.793757785148,102935.08435155106,36222.00300336056
Z14,90430,6046090,984820,1458055,3603210,6136525,0,6046090,984820,5061265,36.0,10871080.598341534,4214664.860729376,467780.4191199025,3746883.792433534,9.009921511163261,1.1248453632964226,53589.72028389903,26644.93494839393,482839.173563124,60280.14838169607
Z15,24705,2142815,423420,646690,1072690,2167520,0,2142815,423420,1719380,18.0,1951387.6038751479,826454.6240457557,196318.556183086,630127.4861963345,4.209763152877953,1.3115673290725964,9248.570757364483,4140.309484434465,38934.29239113754,12130.123245975456
Z16,39040,3337205,992870,918050,1426265,3376250,0,3337205,992870,2344315,36.0,4358214.22999304,1905767.9291193336,554297.3186038998,1351458.5126189725,3.4381691290143026,1.4101564430758387,21932.50393750396,8725.699762930917,75407.65795991075,30928.26174025741
Z17,27480,2368240,797620,637450,933160,2395720,0,2368240,797620,1570610,30.0,2771565.682973787,1323703.3213627904,450996.0169056885,872702.1945864368,2.9350665454759457,1.5167869744960107,7054.864197861438,4015.8898041621196,20706.495890019098,10700.726122154476
Z1_1,65,10505,6020,2760,1725,10570,0,10505,6020,4485,3.0,13081.891078548864,10505.0,6020.0,4485.0,1.745016611295681,2.342251950947603,0.0,0.0,0.0,0.0
Z1_2,60,13745,9320,2520,1905,13805,0,13745,9320,4425,3.0,23286.344766836613,13745.0,9320.0,4425.0,1.474785407725322,3.1062146892655367,0.0,0.0,0.0,0.0
Z1_3,1615,200240,85630,54205,60410,201855,0,200240,85630,114615,12.0,107588.10644804314,55632.18267221722,27863.66919965626,27768.524067379843,1.9965849534598814,2.0034259846589864,227.85631951629384,244.60201641919394,454.9344990969794,456.4932712877036
Z1_4,1515,190035,79340,51785,58915,191550,0,190035,79340,110700,9.0,173971.87116840575,82086.90871635737,32068.156900314356,50022.46267872065,2.559763848341178,1.6410009487852906,585.5987778404909,1253.2844877504574,1498.9945811488656,960.9681500437522
Z2,4190,591225,186990,147805,256435,595415,0,591225,186990,404240,15.0,515935.19345609145,234772.8930467454,71420.17522037758,163349.12476675055,3.2872069036839897,1.4372461032893946,2557.321780160906,1936.150539138612,8406.44581068636,3675.50076339336
Z3,5130,791190,220045,196800,374345,796315,0,791190,220045,571145,18.0,546696.8477344059,262634.57550496457,73530.78547347567,189107.45123051095,3.5717634976128902,1.3888113545818368,2812.230820153157,2125.73504961865,10044.623390285007,3905.6580947336956
Z4,510,54760,23430,12130,19200,55270,0,54760,23430,31330,3.0,20933.62738069601,11695.528632999736,5004.131407435789,6691.397225563946,2.3371745625266755,1.7478455154803705,100.66386410363558,76.18097422564071,235.2690225486592,175.9448834444649
Z5,10175,1945255,379625,422745,1142890,1955430,0,1945255,379625,1565635,48.0,3515310.370697968,1663502.71070495,280250.53935964766,1383258.3791052413,5.935769881142545,1.202597241291236,20365.60045294159,14008.926594261919,120885.51777995368,24491.614921947104
Z6,5540,713530,187215,205015,321290,719065,0,713530,187215,526305,21.0,268812.0723983609,129991.3036607024,43796.132456974745,86189.85669743932,2.968100066561943,1.508197236213347,1158.5393663042885,861.2388043568162,3438.66077024239,1747.30587030449
Z7,15785,1748200,362585,640130,745470,1763975,0,1748200,362585,1385600,33.0,2887524.5729123736,1311590.2474432234,222750.9055791661,1088824.8622821502,5.8881477677184195,1.2045924857870736,16356.452138898396,10154.687306044532,96309.20714944776,19702.859340652914
Z8,32225,3508295,880335,1284210,1343760,3540515,0,3508295,880335,2627970,51.0,5631982.584891856,2408363.0871592807,515449.4441989908,1892914.9304630326,4.67235558067558,1.2723039204779067,30805.253648829184,23425.712185289703,143933.09880023383,39193.64498872172
Z9,58135,5931370,1365030,2152140,2414200,5989520,0,5931370,1365030,4566340,90.0,7816857.958051538,3456785.445921374,701377.5533632666,2755402.8647773303,4.928565833544705,1.2545481062351744,41615.19746276234,28548.52312487283,205103.24037118678,52208.26716751133
