Name,Durchmesser [mm],Kapazität [billion m2/a],Pressure [Bar],Quelle
Nordstream,1220,55,100,https://en.wikipedia.org/wiki/Nord_Stream
Langeled,1067,25.5,200,https://en.wikipedia.org/wiki/Langeled_pipeline
Norpipe,914,16,?,https://en.wikipedia.org/wiki/Norpipe
Europipe I,1016,18,,https://en.wikipedia.org/wiki/Europipe_I
MIDAL,1000,12.8,,https://en.wikipedia.org/wiki/MIDAL
NEL,1422,20,100,https://en.wikipedia.org/wiki/NEL_pipeline
OPAL,1400,35,108,https://en.wikipedia.org/wiki/OPAL_pipeline
Haltenpipe,406,2.2,100,https://www.gassco.no/en/our-activities/pipelines-and-platforms/haltenpipe/
Turk Stream ,810,31.5,300,https://en.wikipedia.org/wiki/TurkStream
Yamal–Europe pipeline,1420,33,,https://en.wikipedia.org/wiki/Yamal%E2%80%93Europe_pipeline
Trans Adriatic Pipeline,1219,20,95,https://en.wikipedia.org/wiki/Trans_Adriatic_Pipeline
Mozdok–Makhachkala–Kazi Magomed pipeline,1220,13,,https://en.wikipedia.org/wiki/Mozdok%E2%80%93Makhachkala%E2%80%93Kazi_Magomed_pipeline
Torzhok-Minsk-Ivatsevichy,1200,45,,https://en.wikipedia.org/wiki/Northern_Lights_(pipeline)
Interconnector ,1016,25.5,,https://en.wikipedia.org/wiki/Interconnector_(North_Sea)
West of Shetland pipeline,510,1.8,,https://en.wikipedia.org/wiki/West_of_Shetland_pipeline
Fulmar Gas Line,510,4.4,,https://en.wikipedia.org/wiki/Fulmar_Gas_Line
Skanled,600,7,,https://en.wikipedia.org/wiki/Skanled
Baltic Gas Interconnector,813,3,150,https://en.wikipedia.org/wiki/Baltic_Gas_Interconnector
GALSI,1219,10,,https://en.wikipedia.org/wiki/GALSI
Greenstream,810,11,,https://en.wikipedia.org/wiki/Greenstream_pipeline
Tyra West – F3 pipeline,660,5.5,,https://en.wikipedia.org/wiki/Tyra_West_%E2%80%93_F3_pipeline
Trans-Mediterranean Pipeline,1220,30.2,,https://en.wikipedia.org/wiki/Trans-Mediterranean_Pipeline
Interconnector Turkey–Greece–Italy,1067,8,,https://en.wikipedia.org/wiki/Interconnector_Turkey%E2%80%93Greece%E2%80%93Italy
BRUA Pipeline,813,4.4,,https://en.wikipedia.org/wiki/BRUA_Pipeline
